"","H20_g_m2.11.comps"
"Wave_1276",10.6229919354958
"Wave_1277",10.7255208961777
"Wave_1278",10.8280475325495
"Wave_1279",10.2847341897945
"Wave_1280",9.51518959121141
"Wave_1281",8.74564343022157
"Wave_1282",7.97609793755867
"Wave_1283",7.83533483477057
"Wave_1284",7.69457302673042
"Wave_1285",7.55380980336446
"Wave_1286",7.38520558732111
"Wave_1287",6.81615282187748
"Wave_1288",6.24709803035038
"Wave_1289",5.67804374176484
"Wave_1290",5.18898513941643
"Wave_1291",4.77991896387604
"Wave_1292",4.3708521660482
"Wave_1293",3.96178499860632
"Wave_1294",3.15085226101525
"Wave_1295",2.23945171889604
"Wave_1296",1.32805195787159
"Wave_1297",0.416651209277589
"Wave_1298",-0.0968002813746456
"Wave_1299",-0.61024930733092
"Wave_1300",-1.12369987223021
"Wave_1301",-1.55165643608646
"Wave_1302",-1.78012537050385
"Wave_1303",-2.00859494315071
"Wave_1304",-2.23706558006536
"Wave_1305",-2.74417573374727
"Wave_1306",-3.53599757367304
"Wave_1307",-4.32781840652939
"Wave_1308",-5.11964074662779
"Wave_1309",-5.65309561193844
"Wave_1310",-6.12195734451
"Wave_1311",-6.59081990909018
"Wave_1312",-7.09531606952156
"Wave_1313",-7.48596559109338
"Wave_1314",-7.8766166632301
"Wave_1315",-8.26726547163412
"Wave_1316",-8.73256696696606
"Wave_1317",-9.37205013145831
"Wave_1318",-10.0115331252959
"Wave_1319",-10.6510162274322
"Wave_1320",-10.9364177493338
"Wave_1321",-10.9857667172045
"Wave_1322",-11.0351147909441
"Wave_1323",-11.0844652065314
"Wave_1324",-11.6198047078114
"Wave_1325",-12.2766418180935
"Wave_1326",-12.9334805717696
"Wave_1327",-13.5537670395586
"Wave_1328",-13.845085061235
"Wave_1329",-14.1364005696635
"Wave_1330",-14.4277165872218
"Wave_1331",-14.8737033153058
"Wave_1332",-15.6626712631659
"Wave_1333",-16.4516367817352
"Wave_1334",-17.2406051845059
"Wave_1335",-17.3636313041596
"Wave_1336",-17.0426919892103
"Wave_1337",-16.7217548683525
"Wave_1338",-16.4008178638165
"Wave_1339",-16.5507821774865
"Wave_1340",-16.7530689570482
"Wave_1341",-16.9553527997779
"Wave_1342",-17.0589414536234
"Wave_1343",-16.7677356473629
"Wave_1344",-16.4765335848814
"Wave_1345",-16.1853288683758
"Wave_1346",-15.7893914939457
"Wave_1347",-15.2363509204407
"Wave_1348",-14.6833099134192
"Wave_1349",-14.1302684313427
"Wave_1350",-13.9367481166646
"Wave_1351",-13.8973076572858
"Wave_1352",-13.8578686922437
"Wave_1353",-13.8184271074474
"Wave_1354",-13.3729875639893
"Wave_1355",-12.9275453764262
"Wave_1356",-12.4821041564458
"Wave_1357",-12.1863646895863
"Wave_1358",-12.4894363292796
"Wave_1359",-12.7925069837025
"Wave_1360",-13.0955766757623
"Wave_1361",-13.607332745532
"Wave_1362",-14.3277770577464
"Wave_1363",-15.0482196732957
"Wave_1364",-15.7686649648925
"Wave_1365",-16.6099072723659
"Wave_1366",-17.4813526254177
"Wave_1367",-18.3527976170634
"Wave_1368",-19.2030179460497
"Wave_1369",-19.862227280896
"Wave_1370",-20.5214378502015
"Wave_1371",-21.1806476212554
"Wave_1372",-21.9759776155686
"Wave_1373",-23.0889136688225
"Wave_1374",-24.2018512601383
"Wave_1375",-25.3147867419321
"Wave_1376",-26.3606660371462
"Wave_1377",-27.3618404998396
